code,state,limit_usd,spouse_limit_usd,limit_text,indexed,real_estate,wait_days,court,procedure,statute,source_url,changed,verified_date,notes
MT,Montana,100000,,"$100,000",no,no,30,no,Collection of personal property by affidavit,MCA §72-3-1101,https://leg.mt.gov/bills/mca/title_0720/chapter_0030/part_0110/section_0010/0720-0030-0110-0010.html,,2026-09-26,
NE,Nebraska,100000,,"$100,000 personal property",no,separate,30,no,Collection of personal property by affidavit,"Neb. Rev. Stat. §30-24,125","https://nebraskalegislature.gov/laws/statutes.php?statute=30-24,125",,2026-09-26,Real property uses a separate affidavit
NV,Nevada,25000,150000,"$25,000; $150,000 if the claimant is the surviving spouse (vehicles excluded)",no,no,40,no,Affidavit of entitlement,NRS 146.080,https://www.leg.state.nv.us/nrs/NRS-146.html,2025,2025 amendments set the spouse amount at $150000; 14-day notice to equal or superior heirs
NH,New Hampshire,,,"No small estate affidavit; waiver of administration available at any size",no,yes,,petition,Waiver of administration,RSA 553:32,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-07/pamphlet-e-waiverofadministrationinfo.pdf,,2026-09-26,Voluntary administration was repealed in 1997
NJ,New Jersey,20000,50000,"$20,000 for an heir (with other heirs' consent); $50,000 for a surviving spouse or partner",no,yes,,filed,Affidavit of next of kin / surviving spouse filed with the county surrogate,N.J.S.A. 3B:10-3 and 3B:10-4,https://www.mercercounty.org/government/county-surrogate/affidavits-of-surviving-spouse-domestic-partner-or-next-of-kin,,2026-09-26,Intestate estates only
NM,New Mexico,50000,,"$50,000",no,no,30,no,Small estate affidavit,NMSA §45-3-1201,https://law.justia.com/codes/new-mexico/chapter-45/article-3/part-12/section-45-3-1201/,,2026-09-26,
NY,New York,50000,,"$50,000 in personal property",no,no,,filed,Voluntary administration (Surrogate's Court),SCPA §1301,https://www.nysenate.gov/legislation/laws/SCP/1301,,2026-09-26,Real property cannot be handled this way; $1 filing fee
NC,North Carolina,20000,30000,"$20,000; $30,000 if the surviving spouse is the sole heir",no,no,30,filed,Collection by affidavit filed with the clerk of superior court,N.C.G.S. §28A-25-1,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_28A/GS_28A-25-1.html,,2026-09-26,Personal property only
ND,North Dakota,100000,,"$100,000 ($50,000 before HB 1224 of 2025)",no,no,30,no,Affidavit for collection of personal property,N.D.C.C. §30.1-23-01,https://ndlegis.gov/cencode/t30-1c23.pdf,2025,
OH,Ohio,35000,100000,"$35,000; $100,000 if everything passes to the surviving spouse",no,yes,,petition,Release from administration (probate court),R.C. §2113.03,https://codes.ohio.gov/ohio-revised-code/section-2113.03,,2026-09-26,Court order releases assets; not an affidavit-only process
OK,Oklahoma,50000,,"$50,000",no,no,,no,Small estate affidavit,58 O.S. §393,https://law.justia.com/codes/oklahoma/title-58/section-58-393/,,2026-09-26,
OR,Oregon,275000,,"$75,000 personal property plus $200,000 real property",no,yes,30,filed,Simple estate affidavit filed with the probate court,ORS 114.510 and 114.515,https://oregon.public.law/statutes/ors_114.510,,2026-09-26,Limits apply separately to personal ($75000) and real ($200000) property
PA,Pennsylvania,50000,,"$50,000 excluding real estate",no,no,,petition,Petition to settle small estate (Orphans' Court),20 Pa.C.S. §3102,https://www.legis.state.pa.us/WU01/LI/LI/US/HTM/2013/0/0035..HTM,,2026-09-26,Court decree required; owning real estate does not block the petition (real estate just sits outside it); banks must pay accounts up to $10000 to family with a receipted funeral bill (§3101)
RI,Rhode Island,15000,,"$15,000, not counting tangible personal property",no,no,30,filed,Small estate affidavit (probate court),R.I. Gen. Laws §33-24-1,https://webserver.rilegislature.gov/Statutes/TITLE33/33-24/33-24-1.htm,,2026-09-26,
SC,South Carolina,45000,,"$45,000",no,no,30,no,Collection of personal property by affidavit,S.C. Code §62-3-1201,https://www.scstatehouse.gov/code/t62c003.php,,2026-09-26,
SD,South Dakota,100000,,"$100,000 personal property",no,separate,30,no,Collection of personal property by affidavit,SDCL §29A-3-1201,https://sdlegislature.gov/Statutes/29A-3-1201,,2026-09-26,Real property uses a separate procedure
TN,Tennessee,50000,,"$50,000",no,no,45,filed,Small estate affidavit filed with the probate court clerk,T.C.A. §30-4-103,https://law.justia.com/codes/tennessee/title-30/chapter-4/section-30-4-103/,,2026-09-26,Clerk may require a bond unless waived
TX,Texas,75000,,"$75,000, not counting the homestead and exempt property",no,homestead,30,approval,Small estate affidavit filed with the court and approved by the judge,Tex. Est. Code §205.001,https://texas.public.law/statutes/tex._est._code_section_205.001,,2026-09-26,Intestate estates only; two disinterested witnesses; homestead is the only real property it can pass
UT,Utah,100000,,"$100,000",no,no,30,no,Collection of personal property by affidavit,Utah Code §75-3-1201,https://le.utah.gov/xcode/Title75/Chapter3/75-3-S1201.html,,Current version effective May 7 2025
VT,Vermont,45000,,"$45,000 in personal property",no,no,,petition,Small estate proceeding (Probate Division),14 V.S.A. §1902,https://legislature.vermont.gov/statutes/fullchapter/14/081,,2026-09-26,Any real estate requires regular probate
VA,Virginia,75000,,"$75,000 (deaths on/after July 1, 2025; $50,000 before)",no,no,60,no,Small estate affidavit,Va. Code §64.2-601,https://law.lis.virginia.gov/vacode/title64.2/chapter6/section64.2-601/,2025-07-01,2025 Va. Acts c. 148; amended again 2026 c. 40
WA,Washington,100000,,"$100,000",no,no,40,no,Small estate affidavit,RCW 11.62.010,https://app.leg.wa.gov/RCW/default.aspx?cite=11.62.010,,2026-09-26,Real estate cannot transfer by affidavit but its equity counts toward the $100000
WV,West Virginia,50000,,"$50,000 personal property and $100,000 real property",no,yes,,filed,Small estate affidavit filed with the county clerk,W. Va. Code §44-1A-1 et seq.,https://code.wvlegislature.gov/44-1A-1/,,2026-09-26,Real estate value presumed at 167% of assessed value
WI,Wisconsin,50000,,"$50,000",no,check,,no,Transfer by affidavit,Wis. Stat. §867.03,https://docs.legis.wisconsin.gov/statutes/statutes/867/03,,2026-09-26,Confirm real-property rule before a WI spoke
WY,Wyoming,400000,,"$400,000 (since July 1, 2025; $200,000 before)",no,separate,30,no,Distribution by affidavit; summary distribution for real property,Wyo. Stat. §2-1-201,https://wyoleg.gov/statutes/compress/title02.pdf,2025-07-01,Raised by SF 104 (2025)
