code,state,limit_usd,entity_limit_usd,limit_text,other_limits,court,fee_text,fee_min,fee_max,fee_tiers,statute,source_url,changed,verified_date,notes
MT,Montana,7000,,"$7,000",,Justice Court small claims,Set by statute; ask the clerk,,,,MCA §25-35-502,https://mca.legmt.gov/bills/mca/title_0250/chapter_0350/part_0050/section_0020/0250-0350-0050-0020.html,,2026-09-26,
NE,Nebraska,7500,,"$7,500",,County Court small claims,Set by statute; ask the clerk,,,,Neb. Rev. Stat. §25-2802,https://supremecourt.nebraska.gov/self-help/small-claims,"July 1, 2025: raised from $3,900 (5-year CPI adjustment)",2026-09-26,No lawyers
NV,Nevada,10000,,"$10,000",,Justice Court small claims,Set by court,,,,NRS 73.010,https://www.leg.state.nv.us/NRS/NRS-073.html,,2026-09-26,
NH,New Hampshire,10000,,"$10,000",,Circuit Court District Division small claims,"$125 (≤$5,000); $180 (over $5,000)",125,180,5000:125|:180,RSA 503:1,https://gc.nh.gov/rsa/html/li/503/503-1.htm,,2026-09-26,"Mandatory mediation over $5,000; e-filing required"
NJ,New Jersey,5000,,"$5,000","Special Civil Part up to $20,000",Superior Court Special Civil Part — Small Claims,Set by court fee schedule,,,,N.J. Ct. R. 6:1-2,https://www.njcourts.gov/self-help/small-claims-court,,2026-09-26,"Security-deposit claims also up to $5,000"
NM,New Mexico,10000,,"$10,000",,Magistrate Court / Bernalillo Metropolitan Court,Set by court,,,,NMSA §35-3-3,https://law.justia.com/codes/new-mexico/chapter-35/article-3/section-35-3-3/,,2026-09-26,
NY,New York,10000,,"$10,000 (NYC Civil Court)","$5,000 city and district courts; $3,000 town and village courts",Civil / City / District / Town & Village Courts,"$15 (≤$1,000); $20 (over $1,000)",15,20,1000:15|:20,N.Y. City Civ. Ct. Act §1801; UCCA §1801,https://portal.311.nyc.gov/article/?kanumber=KA-03006,,2026-09-26,
NC,North Carolina,10000,,"$10,000",Some counties assign a lower amount,District Court (magistrate) small claims,$96,96,96,,N.C.G.S. §7A-210,https://www.nccourts.gov/help-topics/lawsuits-and-small-claims/small-claims,,2026-09-26,Sheriff service about $30 per defendant
ND,North Dakota,15000,,"$15,000",,District Court small claims,Set by statute; ask the clerk,,,,N.D.C.C. §27-08.1-01,https://www.ndcourts.gov/legal-self-help/small-claims,,2026-09-26,
OH,Ohio,6000,,"$6,000",,Municipal/County Court small claims division,Set by court,,,,Ohio Rev. Code §1925.02,https://codes.ohio.gov/ohio-revised-code/section-1925.02,,2026-09-26,
OK,Oklahoma,10000,,"$10,000",,District Court small claims,Set by county,,,,12 O.S. §1751,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=438809,,2026-09-26,
OR,Oregon,10000,,"$10,000",Claims of $750 or less must use small claims,Circuit Court small claims department,Set by statute (ORS 46.570),,,,ORS 46.405,https://oregon.public.law/statutes/ors_46.405,,2026-09-26,No lawyers without the judge's consent
PA,Pennsylvania,12000,,"$12,000","Philadelphia Municipal Court also $12,000",Magisterial District Court / Philadelphia Municipal Court,Set by statewide cost table plus county fees,,,,42 Pa.C.S. §1515(a)(3),https://www.pacourts.us/Storage/media/pdfs/20241024/175327-2025costtable-forcommunications.pdf,,2026-09-26,
RI,Rhode Island,5000,,"$5,000",,District Court small claims,Set by court,,,,R.I. Gen. Laws §10-16-1,https://webserver.rilegislature.gov/Statutes/TITLE10/10-16/10-16-1.htm,"Jan. 1, 2026: counterclaim limit raised to $5,000",2026-09-26,
SC,South Carolina,7500,,"$7,500",,Magistrate Court,Set by county,,,,S.C. Code §22-3-10,https://www.scstatehouse.gov/code/t22c003.php,,2026-09-26,"Bill S. 251 (to $15,000) pending in committee"
SD,South Dakota,12000,,"$12,000",,Magistrate Court small claims,Tiered by claim (UJS fee calculator),,,,SDCL 16-12C-13; 15-39-45.1,https://ujs.sd.gov/self-help/civil-law-help/small-claims/,,2026-09-26,
TN,Tennessee,25000,,"$25,000",No limit for eviction and recovery of personal property,General Sessions Court,Set by county,,,,Tenn. Code §16-15-501,https://www.ctas.tennessee.edu/eli/jurisdiction-general-sessions-court,,2026-09-26,
TX,Texas,20000,,"$20,000",,Justice Court small claims,$54 filing fee (plus service),54,54,,Tex. Gov't Code §27.031; TRCP 500.3,https://sll.texas.gov/faqs/small-claims-maximum,,2026-09-26,
UT,Utah,20000,,"$20,000",,Justice Court / District Court small claims,$60–$185 by claim size,60,185,,Utah Code §78A-8-102,https://www.utcourts.gov/en/self-help/case-categories/consumer/small-claims.html,"Jan. 1, 2025: raised from $15,000 (statutory step through 2029)",2026-09-26,Limit includes attorney fees
VT,Vermont,10000,,"$10,000","$5,000 for consumer-credit and medical debt",Superior Court Civil Division small claims,Set by statute,,,,12 V.S.A. §5531,https://legislature.vermont.gov/statutes/section/12/187/05531/,,2026-09-26,
VA,Virginia,5000,,"$5,000",,General District Court small claims division,Set by statute,,,,Va. Code §16.1-122.2,https://law.lis.virginia.gov/vacode/title16.1/chapter4.1/section16.1-122.2/,,2026-09-26,HB 364 (2026) would raise it; not enacted as of Sept. 2026
WA,Washington,10000,5000,"$10,000 (individuals)","$5,000 businesses and other entities",District Court small claims department,Set by county district court,,,,RCW 12.40.010,https://app.leg.wa.gov/RCW/default.aspx?cite=12.40.010,,2026-09-26,No lawyers without the judge's permission
WV,West Virginia,20000,,"$20,000",,Magistrate Court,Tiered by claim size (W. Va. Code §50-3-1),,,,W. Va. Code §50-2-1,https://code.wvlegislature.gov/50-2-1/,"2025: raised from $10,000 (HB 2761)",2026-09-26,
WI,Wisconsin,10000,,"$10,000 ($15,000 from Jan. 1, 2027)","$5,000 tort and personal-injury claims",Circuit Court small claims,Set by statute plus county charges,,,,Wis. Stat. §799.01,https://docs.legis.wisconsin.gov/statutes/statutes/799/01,"Jan. 1, 2027: rises to $15,000 (2025 Wis. Act 105)",2026-09-26,
WY,Wyoming,6000,,"$6,000",,Circuit Court small claims,$10,10,10,,W.S. §1-21-201,https://www.wyocourts.gov/legal-help-by-topic/small-claims/,,2026-09-26,
